Which Fabric data store has a SQL analytics endpoint that is read-only vs full DML?	Lakehouse & Eventhouse SQL endpoints are read-only; Warehouse and Fabric SQL database support full T-SQL DML (INSERT/UPDATE/DELETE/MERGE)	dp-700 d2-ingest-transform decision-matrices data-store
Best data store for near real-time streaming/time-series telemetry?	Eventhouse (KQL DB) — purpose-built, near real-time (seconds)	dp-700 d2-ingest-transform decision-matrices data-store
Which data store auto-mirrors out and is not a stream target?	Fabric SQL database (OLTP engine, full T-SQL DML, low-latency)	dp-700 d2-ingest-transform decision-matrices data-store
Verb heuristic for "wrangle/clean/combine visually" transform tool?	Dataflow Gen2 — low-code, Power Query, 300+ visual transforms, 150+ connectors	dp-700 d2-ingest-transform decision-matrices transform-tool
Verb heuristic for "custom logic/ML/arbitrary Python" transform tool?	Notebook (PySpark) — unlimited, code-first, TB-scale	dp-700 d2-ingest-transform decision-matrices transform-tool
Verb heuristic for "aggregate telemetry/rolling window/real time" transform tool?	KQL (Eventhouse) — summarize/extend/parse	dp-700 d2-ingest-transform decision-matrices transform-tool
Verb heuristic for "upsert/star schema/stored procedure" transform tool?	T-SQL (Warehouse) — full DML/DDL, window functions, CTEs	dp-700 d2-ingest-transform decision-matrices transform-tool
Can Dataflow Gen2 schedule or orchestrate other Fabric items?	No — Dataflow Gen2 has no native orchestration; only a pipeline schedules/orchestrates other items	dp-700 d1-implement-manage decision-matrices orchestration-tool
What blocks a Dataflow Gen2 from being scheduled unattended?	A required public parameter (public parameters are Preview) — blocks scheduling/manual trigger	dp-700 d1-implement-manage decision-matrices orchestration-tool
When is an Apache Airflow job the right orchestration surface vs a pipeline?	When the team already has Airflow/Python DAG investment (e.g. astronomer-cosmos for dbt) — not a pipeline replacement	dp-700 d1-implement-manage decision-matrices orchestration-tool
Decision funnel order: mirroring vs shortcut vs pipeline copy?	(1) Entire operational DB needs continuous sync → mirroring (2) Data already query-compatible, no transform → shortcut (3) Needs transformation/reshaping → pipeline copy	dp-700 d2-ingest-transform decision-matrices mirroring-shortcuts
Metadata mirroring vs database mirroring — data movement?	Metadata mirroring (Unity Catalog, Dremio) moves zero data — catalog only, shortcuts under the hood. Database mirroring fully replicates	dp-700 d2-ingest-transform decision-matrices mirroring-shortcuts
Which shortcut caching sources are supported, and what's the file-size cutoff?	GCS/S3/S3-compatible/on-prem gateway only (never ADLS/Blob); files >1 GB never cached; retention 1–28 days	dp-700 d2-ingest-transform decision-matrices mirroring-shortcuts
Which shortcut authorization mode uses the item owner's identity instead of the caller's?	Direct Lake over SQL / T-SQL Delegated mode	dp-700 d2-ingest-transform decision-matrices mirroring-shortcuts
Does query acceleration on an Eventhouse shortcut unlock materialized views/update policies?	No — acceleration only closes the query-speed gap; MV/update-policy support remains native-table-only	dp-700 d2-ingest-transform decision-matrices query-acceleration
Query acceleration limits on shortcuts?	≤900 columns; Parquet files >6 GB not cached; no partition-pruning index support	dp-700 d2-ingest-transform decision-matrices query-acceleration
Streaming engine with unbounded transform power (full PySpark/Scala/UDFs/ML)?	Spark Structured Streaming	dp-700 d2-ingest-transform decision-matrices streaming-engine
Which streaming engine is a transform-and-route hub, not a query engine?	Eventstream — the query destination is always a separate item (Lakehouse, Eventhouse)	dp-700 d2-ingest-transform decision-matrices streaming-engine
Copy activity vs Copy job (CDC, Preview) — key difference?	Copy activity = one-time/scheduled batch; Copy job = scheduled/triggered incremental, CDC-based (includes deletes)	dp-700 d2-ingest-transform decision-matrices mirroring-shortcuts
Native table vs unaccelerated shortcut vs query-accelerated shortcut (Eventhouse) — MV/update-policy support?	Native table = yes; unaccelerated shortcut = no; query-accelerated shortcut = still no	dp-700 d2-ingest-transform decision-matrices query-acceleration
PySpark syntax for a deterministic "keep latest" dedup?	Window.partitionBy(key).orderBy(ts.desc()) → row_number() → filter(row_num == 1)	dp-700 d2-ingest-transform language-syntax-map dedup
T-SQL syntax for a deterministic "keep latest" dedup?	ROW_NUMBER() OVER (PARTITION BY key ORDER BY ts DESC), filter WHERE row_num = 1	dp-700 d2-ingest-transform language-syntax-map dedup
KQL syntax for a deterministic "keep latest" dedup?	summarize arg_max(ts, *) by key	dp-700 d2-ingest-transform language-syntax-map dedup
ISNULL vs COALESCE — key risk?	ISNULL is 2-arg, types its result from the FIRST argument (can silently truncate); COALESCE is ANSI, N-args, standard type precedence — prefer COALESCE	dp-700 d2-ingest-transform language-syntax-map null-handling
KQL equivalent of T-SQL MERGE for upserts?	No direct row-level MERGE — use an update policy (transform-on-ingest) or materialized view arg_max dedup	dp-700 d2-ingest-transform language-syntax-map upsert
Is MERGE GA in Fabric Warehouse?	Yes — GA, not preview, despite being a known gap in early previews	dp-700 d2-ingest-transform language-syntax-map t-sql
Fabric Warehouse IDENTITY column limitations?	Preview only, bigint-only, no custom seed/increment, can't ALTER TABLE ADD — ROW_NUMBER() is the GA-safe surrogate-key default	dp-700 d2-ingest-transform language-syntax-map t-sql
Are global temp tables (##table) supported in Fabric Warehouse?	No — only local #temp tables; distributed WITH (DISTRIBUTION = ROUND_ROBIN) recommended over default non-distributed	dp-700 d2-ingest-transform language-syntax-map t-sql
COPY INTO supported FILE_TYPE values in Fabric Warehouse?	CSV, JSONL, PARQUET only — no ORC (unlike Synapse dedicated pools)	dp-700 d2-ingest-transform language-syntax-map t-sql
Are PRIMARY KEY/FOREIGN KEY/UNIQUE constraints enforced in Fabric Warehouse?	No — NOT ENFORCED, optimizer hints only, don't block bad data	dp-700 d2-ingest-transform language-syntax-map t-sql
broadcast() misuse risk in PySpark joins?	Broadcasting a large table causes OutOfMemoryError, not speedup — only broadcast the small side	dp-700 d2-ingest-transform language-syntax-map pyspark
Does dropDuplicates() guarantee which duplicate survives?	No — never deterministic; use the window row_number pattern when "which one wins" matters	dp-700 d2-ingest-transform language-syntax-map pyspark
partitionBy() on write — what does it control?	Physical folder layout for pruning, NOT an in-memory partition count; partition on low-cardinality columns only	dp-700 d2-ingest-transform language-syntax-map pyspark
Update policy vs materialized view in KQL — problem each solves?	Update policy = transform-on-ingest (any reshaping, per-ingest); materialized view = continuous aggregation only, always GA-fresh	dp-700 d2-ingest-transform language-syntax-map kql
IsTransactional: true on a KQL update policy does what?	Rolls back source ingestion if the transform query fails	dp-700 d2-ingest-transform language-syntax-map kql
KQL lookup vs join — broadcast size assumption?	lookup assumes the LEFT side is the large fact table and broadcasts the RIGHT (small dim) — opposite of join's default (left assumed smaller)	dp-700 d2-ingest-transform language-syntax-map kql
Does KQL have a dedicated hopping or sliding window operator?	No — approximate via bin() variations; a scenario naming a hopping/sliding KQL function is inventing one	dp-700 d2-ingest-transform language-syntax-map windowing
Spark watermark behavior on late data?	.withWatermark(col, tolerance) bounds state retention — late events aren't rejected from the stream, just excluded from an already-finalized window	dp-700 d2-ingest-transform language-syntax-map windowing
KQL watermark support?	None — bin() queries just re-evaluate against current table contents at query time	dp-700 d2-ingest-transform language-syntax-map windowing
Denormalization primitive in KQL for fact/dim enrichment?	lookup kind=leftouter (dim) on key — purpose-built, chainable across multiple dimensions	dp-700 d2-ingest-transform language-syntax-map denormalization
PySpark denormalization primitive for a small dimension table?	.join(broadcast(dim), ...) — avoids shuffling the large fact table	dp-700 d2-ingest-transform language-syntax-map denormalization
Which Git providers does Fabric support?	Azure DevOps (cloud), GitHub (cloud), GitHub Enterprise cloud only — no on-prem GitHub Enterprise Server	dp-700 d1-implement-manage lifecycle-cicd git
Who can connect/disconnect a workspace from Git?	Workspace Admin only	dp-700 d1-implement-manage lifecycle-cicd git
Can Commit and Update happen in the same action?	No — sync is one direction per action: Commit (workspace→Git) OR Update (Git→workspace), never both	dp-700 d1-implement-manage lifecycle-cicd git
Which Git conflict-resolution path supports real PR-based code review?	Resolve in Git: checkout new branch → commit → PR/merge on the Git provider → switch workspace back	dp-700 d1-implement-manage lifecycle-cicd git
What happens to unsupported items when a workspace connects to Git?	They're ignored, not deleted — still visible in the panel	dp-700 d1-implement-manage lifecycle-cicd git
